"MonthYear","Year","Month","Date","Region","DissAmmonia","DissNitrateNitrite","DissOrthophos","DissSilica","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","MVI","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Dominant","log_Salinity","log_Ammonia","log_Turbidity","log_Silica","logChlorophyll","logNitNit","log_inflow","Dominant_n"
"Sep-2013",2013,9,2013-09-01,"Confluence",0.0483333333333333,0.293333333333333,0.0733333333333333,16.1,0.08367225,0.172475833333333,0.0783333333333333,21.2835293490579,0.993648074033599,18.2461111492222,8.64508771929825,2.52937499254942,7.89599461046323,1.85,404400,25472,444467,2.06333333333333,"Centric Diatoms",-0.00637218528416583,-3.02963382522967,2.90395196960824,2.77881927199042,0.927972233702372,-1.22644566017799,13.0046310904602,0
"Nov-2013",2013,11,2013-11-01,"Confluence",0.131666666666667,0.435,0.0733333333333333,15.775,0.15,0.466666666666667,0.106666666666667,14.6626922815078,2.10601179426053,14.0977907460698,9.16207547169811,1.86066665871938,7.64175114909156,1.03125,263500,32614,306404,1.11666666666667,"Centric Diatoms",0.744796014009742,-2.02748180274912,2.64601810043189,2.75842640842728,0.620934842174817,-0.832409247893453,12.6326597715936,0
"Jan-2014",2014,1,2014-01-01,"Confluence",0.253333333333333,0.578333333333333,0.0683333333333333,17.41833316,0.275,0.75,0.0983333333333333,9.30214286264241,2.91222773714257,15.5517204452014,10.2846,2.17312498807907,7.5482385207176,NA,196200,24462,233755,0.763333333333333,"Pennate Diatoms",1.0689183337128,-1.37304913436987,2.74417127206793,2.85752328142716,0.776166218294373,-0.547604875269287,12.3620288372965,4
"Feb-2014",2014,2,2014-02-01,"Confluence",0.198333333333333,0.655,0.0683333333333333,17.2924392571429,0.275,0.633333333333333,0.11,11.5661904435631,1.94133274867489,20.0327906322922,9.62466666666667,2.01769230769231,7.61204388664246,NA,300630,23013,342333,0.943333333333333,"Centric Diatoms",0.663374721062885,-1.61780616210462,2.99737046260389,2.85026936881579,0.701954436417246,-0.423120043346885,12.7435392265323,0
"Mar-2014",2014,3,2014-03-01,"Confluence",0.176666666666667,0.728333333333333,0.08,19.2469331771429,0.45,0.816666666666667,0.14,14.7130952622837,0.533603416704354,32.5280555752029,8.70708333333333,2.79933332061768,7.39810291879532,NA,458020,26263,504119,1.25666666666667,"Centric Diatoms",-0.628102381282119,-1.73349056110408,3.48210296541881,2.95735173256864,1.0293812890515,-0.316996460120556,13.1305676302948,0
"Apr-2014",2014,4,2014-04-01,"Confluence",0.12,0.585,0.0783333333333333,18.4294290971429,0.35,0.65,0.136666666666667,16.5907199772235,0.69078083898843,36.5981481102322,8.90448979591837,4.63866666348775,7.57777998890428,NA,289100,53362,365255,1.46666666666667,"Pennate Diatoms",-0.369932670516957,-2.12026353620009,3.59999764104611,2.91394879437844,1.53442696793628,-0.536143431750281,12.8083510187732,4
"May-2014",2014,5,2014-05-01,"Confluence",0.0585714285714286,0.597142857142857,0.0914285714285714,14.7528393828571,0.32,0.557142857142857,0.147142857142857,19.3567000768511,1.44028096756702,23.4887500378172,8.51432432432432,2.60249997913837,7.91345085270752,NA,178240,47566,254124,1.21866666666667,"Cyanobacteria",0.364838210921175,-2.8375082683391,3.15652158473124,2.69143556479267,0.956472513490992,-0.515598902518648,12.4455776158516,2
"Jun-2014",2014,6,2014-06-01,"Confluence",0.0411111111111111,0.51,0.0788888888888889,10.9240238533333,0.257142857142857,0.455555555555556,0.127777777777778,21.691538469653,2.12526669542257,18.5725225820466,7.83106382978723,2.55842104886707,7.81217378494652,1.63414634146341,267000,9760,306854,1.68,"Centric Diatoms",0.753897298229713,-3.19147685068009,2.92168320792929,2.39096438718042,0.939390290419507,-0.673344553263766,12.6341273434175,0
"Jul-2014",2014,7,2014-07-01,"Confluence",0.0289282,0.374,0.084,12.66486444,0.2625,0.43,0.124,22.4033035747296,1.87682781018293,25.7790653375474,8.38745762711864,3.27904761337099,7.76792259903071,2.30769230769231,283470,8718,321337,2.34,"Cyanobacteria",0.629583016679693,-3.54293838107946,3.24956274152205,2.53883157988274,1.18755301845577,-0.983499481567605,12.6802456956479,2
"Aug-2014",2014,8,2014-08-01,"Confluence",0.0225954444444444,0.304444444444444,0.0755555555555556,13.3727599066667,0.228571428571429,0.344444444444444,0.121111111111111,21.9573626615469,1.6424452819863,28.4506849994521,8.34927272727273,2.8505263095153,7.77912956639316,2.38095238095238,264850,8674,295825,1.97,"Cyanobacteria",0.496186156962532,-3.79000696627719,3.34817223759187,2.59321979514142,1.04750364723652,-1.18926665693624,12.5975233422528,2
